,threshold,precision,recall,f1,accuracy,auc
0,0.0,0.08,1.0,0.15,0.08,1.0
1,0.05,0.64,1.0,0.78,0.95,1.0
2,0.1,0.92,1.0,0.96,0.99,1.0
3,0.15,1.0,0.96,0.98,1.0,1.0
4,0.2,1.0,0.9,0.95,0.99,1.0
5,0.25,1.0,0.84,0.91,0.99,1.0
6,0.3,1.0,0.75,0.86,0.98,1.0
7,0.35,1.0,0.7,0.83,0.98,1.0
8,0.4,1.0,0.54,0.7,0.96,1.0
9,0.45,1.0,0.4,0.57,0.95,1.0
10,0.5,1.0,0.3,0.46,0.94,1.0
11,0.55,1.0,0.2,0.33,0.94,1.0
12,0.6,1.0,0.11,0.2,0.93,1.0
13,0.65,1.0,0.05,0.09,0.92,1.0
14,0.7,1.0,0.04,0.07,0.92,1.0
15,0.75,1.0,0.02,0.05,0.92,1.0
16,0.8,1.0,0.01,0.02,0.92,1.0
17,0.85,1.0,0.01,0.02,0.92,1.0
18,0.9,1.0,0.01,0.02,0.92,1.0
19,0.95,1.0,0.01,0.02,0.92,1.0
20,1.0,1.0,0.01,0.02,0.92,1.0
